,0
0,'
1,'a
2,'n
3,'s
4,(
5,)
6,","
7,-
8,-cher
9,-d
10,-dzhe
11,-i
12,-ka
13,-khrus
14,-kut
15,-l
16,-la
17,-m
18,-n
19,-na
20,-s
21,-sc
22,-shevc
23,-z
24,-za
25,.
26,.k
27,.s
28,/
29,01
30,02
31,03
32,04
33,05
34,06
35,07
36,08
37,09
38,1
39,10
40,11
41,12
42,13
43,14
44,15
45,16
46,2
47,22
48,33
49,44
50,55
51,66
52,73
53,77
54,88
55,99
56,a
57,a.
58,aa
59,aac
60,aal
61,aalst
62,aan
63,aar
64,aarsc
65,ab
66,abrsk
67,ac
68,ach
69,achk
70,ad
71,adh
72,ae
73,af
74,aff
75,afg
76,ag
77,agdz
78,ah
79,ai
80,aic
81,aim
82,ain
83,air
84,ais
85,aix
86,aj
87,ak
88,akc
89,akh
90,al
91,albs
92,alc
93,alf
94,alg
95,all
96,allsc
97,alp
98,als
99,alt
100,alts
101,am
102,amch
103,amp
104,ams
105,an
106,anc
107,and
108,andk
109,ang
110,ann
111,ans
112,ansk
113,ant
114,anz
115,ao
116,aon
117,aos
118,ap
119,aps
120,aq
121,ar
122,arb
123,arc
124,ard
125,ark
126,arm
127,arn
128,arns
129,ars
130,arsk
131,arz
132,as
133,asc
134,ascq
135,ash
136,at
137,ath
138,au
139,auc
140,auch
141,augs
142,aul
143,aus
144,aux
145,av
146,aw
147,ay
148,ayk
149,ayn
150,ayr
151,az
152,aç
153,aí
154,aï
155,aïd
156,aïn
157,aïs
158,añ
159,ağ
160,aī
161,aş
162,aţ
163,aḩ
164,b
165,ba
166,baa
167,baal
168,baar
169,baard
170,baarn
171,bab
172,bac
173,bach
174,bacht
175,back
176,bad
177,badr
178,bae
179,baek
180,baen
181,baes
182,bag
183,bagh
184,bah
185,bai
186,baic
187,bail
188,bain
189,bains
190,bais
191,baix
192,baj
193,bak
194,bakh
195,bakhc
196,bal
197,balch
198,balkh
199,ball
200,bam
201,ban
202,banc
203,band
204,bang
205,bank
206,banks
207,bans
208,bansk
209,bao
210,baos
211,bar
212,bard
213,bardd
214,bark
215,barm
216,barn
217,barns
218,barr
219,bars
220,bart
221,bas
222,bash
223,bat
224,bath
225,baths
226,bats
227,bau
228,bauc
229,baug
230,baulk
231,bault
232,baumsc
233,baun
234,baw
235,baws
236,bay
237,bayk
238,bayl
239,bayn
240,bayr
241,bays
242,bayt
243,baz
244,baâ
245,baç
246,bañ
247,baú
248,bač
249,bağ
250,bań
251,baş
252,baţ
253,bchar
254,be
255,bea
256,beach
257,bear
258,bears
259,beb
260,bec
261,bech
262,beck
263,bed
264,bee
265,beek
266,beer
267,beers
268,beh
269,behs
270,bei
271,beic
272,beid
273,beil
274,beit
275,bek
276,bel
277,bell
278,bells
279,beln
280,bels
281,belt
282,bem
283,ben
284,bend
285,beng
286,bens
287,bent
288,beo
289,beol
290,bep
291,ber
292,berck
293,berd
294,berdsk
295,berg
296,bergs
297,bergsc
298,berk
299,bern
300,bers
301,bersc
302,bert
303,berts
304,bes
305,besh
306,best
307,bet
308,beth
309,beu
310,beuf
311,beul
312,bex
313,bey
314,bez
315,beï
316,beā
317,beč
318,bełc
319,beň
320,beş
321,bha
322,bhab
323,bhac
324,bhai
325,bhains
326,bhak
327,bhal
328,bhan
329,bhar
330,bhart
331,bhat
332,bhay
333,bhe
334,bhi
335,bhim
336,bhin
337,bhind
338,bhis
339,bhit
340,bho
341,bhog
342,bhon
343,bhor
344,bhu
345,bhud
346,bhuj
347,bhā
348,bhāi
349,bhāl
350,bhān
351,bhāt
352,bhāy
353,bhī
354,bhīk
355,bhīl
356,bhīn
357,bhūm
358,bi
359,bia
360,bian
361,bianz
362,biar
363,bias
364,bic
365,bid
366,bidz
367,bie
368,bieh
369,biel
370,biels
371,bielsk
372,bien
373,bier
374,biers
375,bies
376,big
377,bigh
378,bij
379,bijl
380,bijn
381,bil
382,bilt
383,bim
384,bin
385,binc
386,bind
387,bing
388,binh
389,bins
390,binsk
391,binz
392,bio
393,biodh
394,bir
395,birg
396,birk
397,birn
398,birs
399,birsk
400,bis
401,bisch
402,bish
403,bit
404,biu
405,bix
406,biy
407,biysk
408,biz
409,biá
410,biên
411,biú
412,biā
413,bią
414,bił
415,biš
416,bje
417,bla
418,blac
419,black
420,blah
421,blai
422,blain
423,blair
